Rk,Gm#,Date,x,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
62,62,Tuesday Jun 12,boxscore,SFG,,HOU,W,6,3,,35-27,2,4.5,Bumgarner,Norris,Casilla,3:12,N,42100,+
63,63,Wednesday Jun 13,boxscore,SFG,,HOU,W,10,0,,36-27,2,3.5,Cain,Happ,,2:36,N,42298,++
64,64,Thursday Jun 14,boxscore,SFG,,HOU,L,3,6,,36-28,2,4.0,Rodriguez,Zito,Myers,2:31,D,41662,-
65,65,Friday Jun 15,boxscore,SFG,@,SEA,W,4,2,,37-28,2,4.0,Vogelsong,Vargas,Casilla,2:45,N,29818,+
66,66,Saturday Jun 16,boxscore,SFG,@,SEA,L,4,7,,37-29,2,4.0,Iwakuma,Lincecum,Wilhelmsen,2:49,N,30589,-
67,67,Sunday Jun 17,boxscore,SFG,@,SEA,L-wo,1,2,,37-30,2,5.0,Wilhelmsen,Romo,,3:05,D,40603,--
68,68,Monday Jun 18,boxscore,SFG,@,LAA,W,5,3,,38-30,2,4.5,Cain,Williams,Casilla,3:21,N,41234,+
69,69,Tuesday Jun 19,boxscore,SFG,@,LAA,L,5,12,,38-31,2,4.5,Wilson,Zito,,3:21,N,38010,-
70,70,Wednesday Jun 20,boxscore,SFG,@,LAA,L,0,6,,38-32,2,4.5,Weaver,Vogelsong,,2:39,N,40321,--
71,71,Friday Jun 22,boxscore,SFG,@,OAK,W,5,4,,39-32,2,3.0,Hensley,Cook,Casilla,3:35,N,35067,+
72,72,Saturday Jun 23,boxscore,SFG,@,OAK,W,9,8,,40-32,2,3.0,Bumgarner,Ross,Hensley,4:15,D,36067,++
73,73,Sunday Jun 24,boxscore,SFG,@,OAK,L-wo,2,4,,40-33,2,3.0,Miller,Casilla,,2:51,D,36067,-
74,74,Monday Jun 25,boxscore,SFG,,LAD,W,8,0,,41-33,2,2.0,Zito,Eovaldi,,2:45,N,42164,+
75,75,Tuesday Jun 26,boxscore,SFG,,LAD,W,2,0,,42-33,2,1.0,Vogelsong,Kershaw,Casilla,2:42,N,42664,++
76,76,Wednesday Jun 27,boxscore,SFG,,LAD,W,3,0,,43-33,1,Tied,Lincecum,Billingsley,Romo,2:50,D,42245,+++
77,77,Thursday Jun 28,boxscore,SFG,,CIN,W,5,0,,44-33,1,up 1.0,Bumgarner,Cueto,,2:40,N,41626,++++
78,78,Friday Jun 29,boxscore,SFG,,CIN,L,1,5,,44-34,1,up 1.0,Leake,Cain,,2:28,N,41960,-
79,79,Saturday Jun 30,boxscore,SFG,,CIN,L,1,2,,44-35,1,up 1.0,Latos,Zito,,2:44,D,42135,--
80,80,Sunday Jul 1,boxscore,SFG,,CIN,W-wo,4,3,,45-35,1,up 1.0,Casilla,Arredondo,,3:14,D,42039,+
81,81,Tuesday Jul 3,boxscore,SFG,@,WSN,L,3,9,,45-36,1,up 0.5,Zimmermann,Lincecum,,3:07,N,36985,-
82,82,Wednesday Jul 4,boxscore,SFG,@,WSN,L,4,9,,45-37,2,0.5,Jackson,Bumgarner,,3:13,D,35806,--
83,83,Thursday Jul 5,boxscore,SFG,@,WSN,L-wo,5,6,,45-38,2,1.5,Clippard,Casilla,,3:07,N,29819,---
84,84,Friday Jul 6,boxscore,SFG,@,PIT,W,6,5,,46-38,2,0.5,Zito,Bedard,Romo,3:07,N,37565,+
85,85,Saturday Jul 7,boxscore,SFG,@,PIT,L,1,3,,46-39,2,0.5,McDonald,Vogelsong,Hanrahan,2:24,D,37543,-
86,86,Sunday Jul 8,boxscore,SFG,@,PIT,L,2,13,,46-40,2,0.5,Burnett,Lincecum,,3:04,D,28954,--
87,87,Friday Jul 13,boxscore,SFG,,HOU,W,5,1,,47-40,2,0.5,Bumgarner,Rodriguez,Casilla,2:35,N,42116,+
88,88,Saturday Jul 14,boxscore,SFG,,HOU,W-wo,3,2,12,48-40,1,up 0.5,Affeldt,Myers,,4:01,N,42171,++
89,89,Sunday Jul 15,boxscore,SFG,,HOU,W,3,2,,49-40,1,up 1.5,Cain,Norris,Casilla,2:56,D,42265,+++
90,90,Tuesday Jul 17,boxscore,SFG,@,ATL,W,9,0,,50-40,1,up 3.0,Zito,Jurrjens,,3:00,N,29623,++++
91,91,Wednesday Jul 18,boxscore,SFG,@,ATL,W,9,4,11,51-40,1,up 3.0,Casilla,Varvaro,,4:08,N,29410,+++++
92,92,Thursday Jul 19,boxscore,SFG,@,ATL,L,2,3,,51-41,1,up 2.5,Hudson,Bumgarner,Kimbrel,2:21,D,29635,-
93,93,Friday Jul 20,boxscore,SFG,@,PHI,W,7,2,,52-41,1,up 2.5,Lincecum,Worley,,2:52,N,44205,+
94,94,Saturday Jul 21,boxscore,SFG,@,PHI,W,6,5,10,53-41,1,up 2.5,Romo,Papelbon,Casilla,3:12,D,45989,++
95,95,Sunday Jul 22,boxscore,SFG,@,PHI,L-wo,3,4,12,53-42,1,up 1.5,Kendrick,Penny,,3:27,D,44551,-
96,96,Monday Jul 23,boxscore,SFG,,SDP,W,7,1,,54-42,1,up 1.5,Vogelsong,Richard,,2:26,N,42430,+
97,97,Tuesday Jul 24,boxscore,SFG,,SDP,W-wo,3,2,,55-42,1,up 2.5,Casilla,Thatcher,,2:49,N,42559,++
98,98,Wednesday Jul 25,boxscore,SFG,,SDP,L,3,6,,55-43,1,up 2.5,Marquis,Lincecum,Street,2:51,D,41871,-
99,99,Friday Jul 27,boxscore,SFG,,LAD,L,3,5,10,55-44,1,up 2.0,Tolleson,Romo,Jansen,3:29,N,41681,--
100,100,Saturday Jul 28,boxscore,SFG,,LAD,L,0,10,,55-45,1,up 1.0,Billingsley,Zito,,3:03,D,42030,---
101,101,Sunday Jul 29,boxscore,SFG,,LAD,L,0,4,,55-46,1,Tied,Kershaw,Vogelsong,,3:03,D,41902,----
102,102,Monday Jul 30,boxscore,SFG,,NYM,L,7,8,10,55-47,1,Tied,Edgin,Casilla,Acosta,3:56,N,41300,-----
103,103,Tuesday Jul 31,boxscore,SFG,,NYM,W,4,1,,56-47,1,up 1.0,Lincecum,Harvey,Affeldt,2:29,N,41774,+
104,104,Wednesday Aug 1,boxscore,SFG,,NYM,L,1,2,,56-48,1,up 1.0,Niese,Cain,Parnell,2:59,N,42188,-
105,105,Thursday Aug 2,boxscore,SFG,,NYM,L,1,9,,56-49,1,up 0.5,Young,Zito,,2:46,D,41843,--
106,106,Friday Aug 3,boxscore,SFG,@,COL,W,16,4,,57-49,1,up 0.5,Vogelsong,Sanchez,,3:21,N,30176,+
107,107,Saturday Aug 4,boxscore,SFG,@,COL,W,11,6,,58-49,1,up 0.5,Bumgarner,Francis,,3:26,N,35242,++
108,108,Sunday Aug 5,boxscore,SFG,@,COL,W,8,3,,59-49,1,up 0.5,Lincecum,Chatwood,,3:30,D,28804,+++
109,109,Monday Aug 6,boxscore,SFG,@,STL,L,2,8,,59-50,1,up 0.5,Westbrook,Cain,,2:36,N,38652,-
110,110,Tuesday Aug 7,boxscore,SFG,@,STL,W,4,2,,60-50,1,up 1.5,Zito,Lynn,Affeldt,2:51,N,41293,+
111,111,Wednesday Aug 8,boxscore,SFG,@,STL,W,15,0,,61-50,1,up 1.5,Vogelsong,Kelly,,3:19,N,36906,++
112,112,Thursday Aug 9,boxscore,SFG,@,STL,L,1,3,,61-51,1,up 1.0,Wainwright,Bumgarner,Motte,2:37,D,32810,-
113,113,Friday Aug 10,boxscore,SFG,,COL,L,0,3,,61-52,1,Tied,Chatwood,Lincecum,Betancourt,2:37,N,41729,--
114,114,Saturday Aug 11,boxscore,SFG,,COL,W,9,3,,62-52,1,up 1.0,Cain,Pomeranz,,2:46,D,42483,+
115,115,Sunday Aug 12,boxscore,SFG,,COL,W,9,6,,63-52,1,up 1.0,Hensley,Belisle,,3:26,D,41492,++
116,116,Monday Aug 13,boxscore,SFG,,WSN,L,2,14,,63-53,1,Tied,Gonzalez,Vogelsong,,3:13,N,42050,-
